Symbol	Description
AUGB.F.TO	First Trst CBOE Vest US Eqty Buffer ETF
AUMN.TO	Golden Minerals Company
AVCN.TO	Avicanna Inc
AVL.TO	Avalon Advanced Materials Inc
AVNT.TO	Avant Brands Inc
AVNT.WT.TO	Avant Brands Inc WT
AVP.TO	Avcorp Industries Inc
AW.UN.TO	A&W Revenue Royalties Income Fund
AX.PR.A.TO	Artis REIT Pref Ser A
AX.PR.E.TO	Artis REIT Pref Ser E
AX.PR.I.TO	Artis REIT Pref Series I
AX.UN.TO	Artis Real Estate Investment Trust Units
AXU.TO	Alexco Resource Corp
AYA.TO	Aya Gold and Silver Inc
AYM.TO	Atalaya Mining Plc
AZZ.TO	Azarga Uranium Corp
BAM.A.TO	Brookfield Asset Management Inc Cl A Lv
BAM.PF.A.TO	Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B.TO	Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C.TO	Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D.TO	Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PF.E.TO	Brookfield Asset Mgmt Pref Ser 38
BAM.PF.F.TO	Brookfield Asset Mgmt Inc Pref Ser 40
BAM.PF.G.TO	Brookfield Asset Mgmt Inc Pref Ser 42
BAM.PF.H.TO	Brookfield Asset MGT Inc Pref Ser 44
BAM.PF.I.TO	Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J.TO	Brookfield Asset Mgmt Inc Pref Ser 48
BAM.PR.B.TO	Brookfield Asset Mgmt Inc Pr. Ser 2
BAM.PR.C.TO	Brookfield Asset Mgmt Inc Pr. Ser 4
BAM.PR.E.TO	Brookfield Asset Mgmt Inc Pr. Ser 8
BAM.PR.G.TO	Brookfield Asset Mgmt Inc Pr Ser 9
BAM.PR.K.TO	Brookfield Asset Mgmt Inc Pr. Ser 13
BAM.PR.M.TO	Brookfield Asset Mgmt Inc Prf A Ser 17
BAM.PR.N.TO	Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.R.TO	Brookfield Asset Mgmt Pref Ser 24
BAM.PR.T.TO	Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X.TO	Brookfield Am Pref Ser 28
BAM.PR.Z.TO	Brookfield Asset Mgmt Inc Pr Ser 30
BAMR.TO	Brookfield Asset Management Re Part Ltd
BASE.TO	Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B.TO	Evolve Glob Matls Mining Enh Yld Unhgd
BB.TO	Blackberry Ltd
BBD.A.TO	Bombardier Inc Cl A Mv
BBD.B.TO	Bombardier Inc Cl B Sv
BBD.PR.B.TO	Bombardier 2 Pr
BBD.PR.C.TO	Bombardier Inc Pref Class C
BBD.PR.D.TO	Bombardier Inc Pref Ser 3
BBIG.TO	Horizons Global Bbig Technology ETF Clas
BBIG.U.TO	Horizons Global Bbig Tech ETF USD
BBTV.TO	Bbtv Holdings Inc
BBTV.DB.TO	Bbtv Holdings Inc 7 Pct Debs
BBU.UN.TO	Brookfield Business Partners LP
BCE.TO	BCE Inc
BCE.PR.A.TO	BCE First Pr Shares Series Aa
BCE.PR.B.TO	BCE Inc First Pr Shares Series Ab
BCE.PR.C.TO	BCE Inc Pr Shares Series AC
BCE.PR.D.TO	BCE Inc Pref Shares Series Ad
BCE.PR.E.TO	BCE 1st Pref Shares Series Ae
BCE.PR.F.TO	BCE 1st Pref Shares Series Af
BCE.PR.G.TO	BCE 1st Pref Shares Series Ag
BCE.PR.H.TO	BCE 1st Pref Shares Series Ah
BCE.PR.I.TO	BCE 1st Pref Shares Series Ai
BCE.PR.J.TO	BCE Inc Pref Sh Series Aj
BCE.PR.K.TO	BCE Inc Pref Ser AK
BCE.PR.L.TO	BCE Inc Pref Ser AL
BCE.PR.M.TO	BCE Inc Pref Shares Series Am
BCE.PR.N.TO	BCE Inc Pref Shares Series An
BCE.PR.O.TO	BCE Inc Pref Shares Series Ao
BCE.PR.Q.TO	BCE Inc Pref Shares Series Aq
BCE.PR.R.TO	BCE Inc Ser R
BCE.PR.S.TO	BCE Inc Ser S
BCE.PR.T.TO	BCE Inc First Pref Series T
BCE.PR.Y.TO	BCE Inc Ser Y Pr
BCE.PR.Z.TO	BCE Inc Series Z
BDEQ.TO	Black Diamond Global Equity Fund ETF
BDGI.TO	Badger Infrastructure Solutions Ltd
BDI.TO	Black Diamond Group Ltd
BDIV.TO	Brompton Global Dividend Growth ETF
BDOP.TO	Black Diamond Distressed Opport Fund ETF
BDT.TO	Bird Construction Inc
BEI.UN.TO	Boardwalk Real Estate Investment Trust
BEK.B.TO	Becker Milk Company Ltd Cl B NV
BEP.PR.E.TO	Brookfield Renewable LP Pref Ser 5
BEP.PR.G.TO	Brookfield Renewable LP Pref Ser 7
BEP.PR.K.TO	Brookfield Renewable LP Pref Ser 11
BEP.PR.M.TO	Brookfield Renewable LP Pref Ser 13
BEP.PR.O.TO	Brookfield Renewable Partners L.P.
BEP.UN.TO	Brookfield Renewable Partners LP
BEPC.TO	Brookfield Renewable Corp
BESG.TO	Invesco ESG CDN Core Plus Bond ETF
BFIN.TO	Brompton Na Financials Dividend ETF
BFIN.U.TO	Brompton Na Financials Dividend ETF USD
BGC.TO	Bristol Gate Concentrated CDN Eqty ETF
BGI.UN.TO	Brookfield Glbl Infras Sec Inc Fd
BGU.TO	Bristol Gate Concentrated US Eqty ETF
BGU.U.TO	Bristol Gate Conc US Eqty ETF USD
BHC.TO	Bausch Health Companies Inc
BIK.PR.A.TO	Bip Investment Corp Pref Ser 1
BIP.PR.A.TO	Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B.TO	Brookfield Infra Partners LP Pref Ser 3
BIP.PR.C.TO	Brookfield Infra Partners LP Pref Ser 5
BIP.PR.D.TO	Brookfield Infra Partners LP Pref Ser 7
BIP.PR.E.TO	Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F.TO	Brookfield Infra Partners LP Pref Ser 11
BIP.UN.TO	Brookfield Infra Partners LP Units
BIPC.TO	Brookfield Infrastructure Corp
BIR.TO	Birchcliff Energy Ltd
BIR.PR.A.TO	Birchcliff Energy Ltd Pref Sh A
BIR.PR.C.TO	Birchcliff Energy Ltd Pref Ser C
BITC.TO	Ninepoint Bitcoin ETF
BITC.U.TO	Bitcoin Trust USD
BITI.TO	Betapro Inverse Bitcoin ETF
BITI.U.TO	Betapro Inverse Bitcoin ETF USD
BK.TO	Canadian Banc Corp
BK.PR.A.TO	Canadian Banc Corp Pref A
BKI.TO	Black Iron Inc
BKL.C.TO	Invesco Senior Loan Index ETF
BKL.F.TO	Invesco Senior Loan Index ETF
BL.UN.TO	Global Innovation Dividend Fund
BLB.UN.TO	Bloom Select Income Fund
BLDP.TO	Ballard Power Systems Inc
BLN.TO	Blackline Safety Corp
BLOV.TO	Brompton Na Low Volatility Dividend ETF
BLU.TO	Bellus Health Inc
BLX.TO	Boralex Inc
BMO.TO	Bank of Montreal
BMO.PR.B.TO	BMO Pref Shares Series 38
BMO.PR.C.TO	BMO Pref Shares Series 40
BMO.PR.D.TO	BMO Pref Shares Series 42
BMO.PR.E.TO	BMO Pref Shares Series 44
BMO.PR.F.TO	BMO Pref Shares Series 46
BMO.PR.S.TO	BMO Cl B Pref Shares Ser 27
BMO.PR.T.TO	BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W.TO	BMO Cl B Pref Shares Ser 31
BMO.PR.Y.TO	Bank of Montreal Pref Ser 33
BNC.TO	Purpose CDN Financial Income Fund ETF
BND.TO	Purpose Tactical Inv Grade Bond ETF
BNE.TO	Bonterra Energy Corp
BNG.TO	Bengal Energy Ltd
BNK.TO	Bankers Petroleum Ltd
BNK.PR.A.TO	Big Banc Split Corp
BNS.TO	Bank of Nova Scotia
BNS.PR.H.TO	Bns Pref Shares Series 38
BNS.PR.I.TO	Bns Preferred Shares Series 40
BOS.TO	Airboss America J
BPF.UN.TO	Boston Pizza Royalties Income Fund
BPO.PR.A.TO	Brookfield Office Properties Pref Ser Aa
BPO.PR.C.TO	Brookfield Office Properties Pref Ser CC
BPO.PR.E.TO	Brookfield Office Properties Pref Ser Ee
BPO.PR.G.TO	Brookfield Office Properties Pref Ser G
BPO.PR.I.TO	Brookfield Office Properties Pref Ser II
BPO.PR.N.TO	Brookfield Office Properties Pref Ser N
BPO.PR.P.TO	Brookfield Office Properties Pref Ser P
BPO.PR.R.TO	Brookfield Office Properties Pref Ser R
BPO.PR.T.TO	Brookfield Office Properties Pref Ser T
BPO.PR.W.TO	Brookfield Office Properties Pref Ser W
BPO.PR.X.TO	Brookfield Office Properties Pref Ser V
BPO.PR.Y.TO	Brookfield Office Properties Pref Ser Y
BPRF.TO	Bf and Crumrine Invest Grade Pref ETF
BPRF.U.TO	Bf and Crumrine Invgrade Pref ETF USD
BPS.PR.A.TO	Brookfield Property Split Pref Ser 2
BPS.PR.B.TO	Brookfield Property Split Pref Ser 3
BPS.PR.C.TO	Brookfield Property Split Pref Ser 4
BPS.PR.U.TO	Brookfield Property Split Pref Ser 1
BPYP.PR.A.TO	Brookfield Property Preferred L.P.
BR.TO	Big Rock Brewery Inc
BRAG.TO	Bragg Gaming Group Inc
BRE.TO	Bridgemarq Real Estate Services Inc
BREA.TO	Brompton Global Real Assets Dividend ETF
BRF.PR.A.TO	Brookfield Renewable Pref Cl A Ser 1
BRF.PR.B.TO	Brookfield Renewable Pref Cl A Ser 2
BRF.PR.C.TO	Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E.TO	Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F.TO	Brookfield Renewable Power Pref Eqt Sr 6
BRMI.TO	Boat Rocker Media Inc
BRY.TO	Bri Chem Corp
BSKT.TO	Manulife Smart Core Bond ETF
BSO.UN.TO	Brookfield Select Opportunities Inc Fund
BSX.TO	Belo Sun Mining Corp
BTB.DB.G.TO	Btb REIT 6.0 Pct Debs
BTB.DB.H.TO	Btb REIT 7.00 Pct Debs
BTB.UN.TO	Btb REIT Units
BTCC.TO	Purpose Bitcoin ETF Currency Hgd
BTCC.B.TO	Purpose Bitcoin ETF [Cad ETF Non-Currenc
BTCC.U.TO	Purpose Bitcoin ETF [Usd ETF Non-Currenc
BTCQ.TO	3iQ Coinshares Bitcoin ETF
BTCQ.U.TO	3iQ Coinshares Bitcoin ETF USD
BTCX.B.TO	CI Galaxy Bitcoin ETF [Cad Unhedged Unit
BTCX.U.TO	CI Galaxy Bitcoin ETF [Usd Unhedged Unit
BTE.TO	Baytex Energy Corp
BTO.TO	B2Gold Corp
BU.TO	Burcon Nutrascience Corp
BUA.UN.TO	Bloom US Income and Growth Fund
BUI.TO	Buhler Ind
BXF.TO	CI First Asset 1 To 5 Yr Lad Gov Stp Bd ETF
BYD.TO	Boyd Group Services Inc
BYL.TO	Baylin Technologies Inc
BYL.DB.TO	Baylin Technologies Inc 6.5 Pct Debs
CACB.TO	CIBC Active Invst Grade Corp Bond ETF
CAE.TO	Cae Inc
CAFR.TO	CIBC Act Invst Grade Float Rate Bond ETF
CAGG.TO	CI Yield Enh CDN Agrt Bond ETF
CAGS.TO	CI Yield Enh CDN ST Agt Bond ETF
CALL.TO	Evolve US Banks Enhanced Yield ETF
CALL.B.TO	Evolve US Banks Enhanced Yield Unheg
CALL.U.TO	Evolve US Banks Enhanced Yld Fd ETF USD
CAR.UN.TO	CDN Apartment Un
CARE.TO	Dialogue Health Technologies Inc
CARS.TO	Evolve Automobile Innovation Idx Hgd ETF
CARS.B.TO	Evolve Automobile Innovation Idx Uh ETF
CARS.U.TO	Evolve Automobile Innovation Idx Fd USD
CAS.TO	Cascades Inc
CBD.U.TO	Hempfusion Wellness Inc
CBD.WT.U.TO	Hempfusion Wellness Inc WT USD
CBD.WT.V.TO	Hempfusion Wellness Inc WT V USD
CBH.TO	Ishares 1-10 Yr Laddered Corp Bond ETF
CBND.TO	Manulife Smart Corporate Bond ETF
CBO.TO	Ishares 1-5Yr Laddered Corp Bond ETF
CCA.TO	Cogeco Communications Inc
CCBI.TO	CIBC Canadian Bond Index ETF
CCEI.TO	CIBC Canadian Equity Index ETF
CCL.A.TO	Ccl Inc Cl A
CCL.B.TO	Ccl Industries Inc Cl B NV
CCM.TO	Canagold Resources Ltd
CCNS.TO	CIBC Conservative Fixed Income Pool ETF
CCO.TO	Cameco Corp
CCRE.TO	CIBC Core Fixed Income Pool ETF
CCS.PR.C.TO	Co-Operators Gen Ins Cl E Prf
CDAY.TO	Ceridian Hcm Holdings Inc
CDIV.TO	Manulife Smart Dividend ETF
CDLB.TO	CI Doubleline Total Return Bnd US HD ETF
CDLB.U.TO	CI Doubleline Total Retrn Bnd US ETF USD
CDZ.TO	Ishares S&P TSX CDN Dividend ETF
CEE.TO	Centamin Plc
CEF.TO	Sprott Physical Gold Silver Trust
CEF.U.TO	Central Fund of Canada Ltd Cl U NV
CEMI.TO	CIBC Emerging Markets Equity Index ETF
CERV.TO	Cervus Equipment Corp
CET.TO	Cathedral Energy Services Ltd
CEU.TO	Ces Energy Solutions Corp
CEW.TO	Ishares Equal Weight Banc Lifeco ETF
CF.TO	Canaccord Genuity Group Inc
CF.PR.A.TO	Canaccord Genuity Group Inc Pref A
CF.PR.C.TO	Canaccord Genuity Group Inc Pref C
CFF.TO	Conifex Timber Inc
CFLX.TO	CIBC Flexible Yield ETF Hedged
CFP.TO	Canfor Corp
CFW.TO	Calfrac Well Services Ltd
CFW.WT.TO	Calfrac Well Services Ltd WT
CFX.TO	Canfor Pulp Products Inc
CG.TO	Centerra Gold Inc
CGAA.TO	CI First Asset Glb Asset Allocation ETF
CGBI.TO	CIBC Global Bond Ex Can Idx ETF
CGG.TO	China Gold Int Resources Corp
CGI.TO	CDN General Inv
CGI.PR.D.TO	Canadian General Inv Ltd Pref Ser 4
CGL.TO	Ishares Gold Bullion ETF Hdg
CGL.C.TO	Ishares Gold Bullion ETF Non Hdg
CGLO.TO	CIBC Global Growth ETF
CGO.TO	Cogeco Inc Sv
CGR.TO	Ishares Global Real Estate ETF
CGRA.TO	CI Global Real Asset Private Pool ETF
CGRE.TO	CI Global REIT Private Pool ETF
CGX.TO	Cineplex Inc
CGX.DB.B.TO	Cineplex Inc Debs
CGXF.TO	CI First Asset Gold Giants Cvr Call ETF
CGY.TO	Calian Group Ltd
CHB.TO	Ishares US HY Fixed Income Index ETF
CHE.DB.C.TO	Chemtrade Logistics Income Fund 5.0 Debs
CHE.DB.D.TO	Chemtrade Logistics Inc Fd 4.75 Pct Debs
CHE.DB.E.TO	Chemtrade Logistics If 6.50 Pct Debs
CHE.DB.F.TO	Chemtrade Logistics If 8.50 Pct Debs
CHE.UN.TO	Chemtrade Logistics Income Fund
CHNA.B.TO	CI Icbccs SP China 500 Index ETF
CHP.UN.TO	Choice Properties REIT
CHPS.TO	Horizons Global Semiconductor Index ETF
CHPS.U.TO	Horizons Global Semiconductr Idx ETF USD
CHR.TO	Chorus Aviation Inc
CHR.DB.A.TO	Chorus Aviation Inc 5.75 Pct Debs
CHR.DB.B.TO	Chorus Aviation Inc 6.00 Pct Debs
CHR.DB.C.TO	Chorus Aviation Inc 5.75 Pct Debs C
CHR.WT.TO	Chorus Aviation Inc
CHW.TO	Chesswood Group Ltd
CIA.TO	Champion Iron Ltd
CIBR.TO	First Trust Nasdaq Cybersecurity ETF
CIC.TO	CI First Asset Canbanc Income Class ETF
CIEI.TO	CIBC International Equity Index ETF
CIEM.TO	CI Emerging Markets Alpha ETF
CIEM.U.TO	CI Emerging Markets Alpha Hg ETF USD
CIF.TO	Ishares Global Infrastructure Index ETF
CIGI.TO	Colliers International Group Inc
CINC.TO	CI Doubleline Income US Hdg ETF
CINF.TO	CI Global Infrastructure Pvt Pool ETF
CINT.TO	CIBC International Equity ETF
CINV.TO	CI Global Alpha Innovation ETF
CINV.U.TO	CI Global Alpha Innovation ETF USD
CIQ.UN.TO	Canadian High Income Equity Fund
CIU.PR.A.TO	Cu Inc Pref Shares
CIU.PR.C.TO	Cu Inc Pref Ser 4
CIX.TO	CI Financial Corp
CJ.TO	Cardinal Energy Ltd
CJR.B.TO	Corus Entertainment Inc Cl B NV
CJT.TO	Cargojet Inc
CJT.DB.D.TO	Cargojet Inc 5.75 Pct Debs
CJT.DB.E.TO	Cargojet Inc 5.75 Pct Debs
CJT.DB.F.TO	Cargojet Inc 5.25 Pct Debs
CKI.TO	Clarke Inc
CKI.DB.TO	Clarke Inc 6.25 Pct Debs
CLF.TO	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG.TO	Ishares 1-10 Yr Ladder Govt Bond ETF
CLIQ.TO	Alcanna Inc
CLML.TO	CI Global Climate Leaders Fund ETF
CLMT.TO	Purpose Global Climate Opportunities Fun
CLP.UN.TO	International Clean Power Dividend Fund
CLS.TO	Celestica Inc Sv
CM.TO	Canadian Imperial Bank of Commerce
CM.PR.O.TO	CIBC Pref Ser 39
CM.PR.P.TO	CIBC Pref Ser 41
CM.PR.Q.TO	CIBC Pref Ser 43
CM.PR.R.TO	CIBC Pref Ser 45
CM.PR.S.TO	CIBC Pref Series 47
CM.PR.T.TO	CIBC Pref Series 49
CM.PR.Y.TO	CIBC Pref Series 51
CMAG.TO	CI Munro Alt Global Growth ETF
CMAG.U.TO	CI Munro Alt Global Growth Fund USD
CMAR.TO	CI Marret Alt Absolute Return Bnd ETF
CMAR.U.TO	CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCE.TO	CIBC Multifactor Canadian Equity ETF
CMDO.TO	CI Alternative Diversified Opp ETF
CMDO.U.TO	CI Alternative Diversified Opp ETF USD
CMEY.TO	CI Marret Alternative Enhanced Yield ETF
CMG.TO	Computer Modelling Group Ltd
CMGG.TO	CI Munro Global Gwth Equity Fund ETF CAD
CMMC.TO	Copper Mountain Mining Corp
CMR.TO	Ishares Premium Money Market ETF
CMUE.TO	CIBC Multifactor US Equity ETF
CMUE.F.TO	CIBC Multifactor US Equity ETF Hedged
CNAO.TO	CI Alternative Na Opps Fund ETF
CNAO.U.TO	CI Alternative Na Opps Fund ETF USD
CNE.TO	Canacol Energy Ltd
CNQ.TO	CDN Natural Res
CNR.TO	Canadian National Railway Co.
CNT.TO	Century Global Commodities Corp
CNU.TO	Cnooc Ltd
COG.TO	Condor Gold Plc
COMM.TO	BMO Global Communications Index ETF
COW.TO	Ishares Global Agri Index ETF
CP.TO	Canadian Pacific Railway Ltd
CPD.TO	Ishares S&P TSX CDN Pref ETF
CPG.TO	Crescent Point Energy Corp
CPH.TO	Cipher Pharmaceuticals Inc
CPI.TO	Condor Petroleum Inc
CPLF.TO	Copperleaf Technologies Inc
CPLS.TO	CIBC Core Plus Fixed Income Pool ETF
CPX.TO	Capital Power Corp
CPX.PR.A.TO	Capital Power Corp Pref Ser 1
CPX.PR.C.TO	Capital Power Corp Pref Ser 3
CPX.PR.E.TO	Capital Power Corp Pref Ser 5
CPX.PR.G.TO	Capital Power Corp Pref Ser 7
CPX.PR.I.TO	Capital Power Corp Pref Ser 9
CPX.PR.K.TO	Capital Power Corp Pref Series 11
CR.TO	Crew Energy Inc
CRDL.TO	Cardiol Therapeutics Inc
CRDL.WT.A.TO	Cardiol Therapeutics Inc Purchase WT
CRED.TO	CI Lawrence Park Alt Invest Grd Crdt ETF
CRED.U.TO	CI Lawrence Park Alt Inv Grd Crt ETF USD
CRON.TO	Cronos Group Inc
CROP.TO	Purpose Credit Opportunities Fund ETF
CRP.TO	Ceres Global Ag Corp
CRR.UN.TO	Crombie Real Estate Investment Trust
CRRX.TO	Carerx Corp
CRT.UN.TO	CT Real Estate Investment Trust
CRWN.TO	Crown Capital Partners Inc
CRWN.DB.TO	Crown Capital Partners Inc 6.0 Pct Debs
CS.TO	Capstone Mining Corp
CSAV.TO	CI First Asset High Interest Savings ETF
CSD.TO	Ishares Short Dur HI Inc ETF CAD Hgd
CSE.PR.A.TO	Capstone Infrastructure Corp Pref A
CSH.UN.TO	Chartwell Retirement Residences
CSM.TO	Clearstream Energy Services Inc
CSU.TO	Constellation Software Inc
CSU.DB.TO	Constellation Software Inc Debs Ser 1
CSW.A.TO	Corby Spirit and Wine Ltd Class A
CSW.B.TO	Corby Spirit and Wine Ltd Class B
CSY.TO	CI First Asset Core Can Equity Inc Class ETF
CTC.TO	Canadian Tire Corp Ltd
CTC.A.TO	Canadian Tire Corp Cl A NV
CTF.UN.TO	Citadel Income Fund
CTS.TO	Converge Technology Solutions Corp
CTX.TO	Crescita Therapeutics Inc
CU.TO	Canadian Utilities Ltd Cl A NV
CU.PR.C.TO	Canadian Utilities Ltd Pref Ser C
CU.PR.D.TO	Canadian Utilities Ltd Pr Series Aa
CU.PR.E.TO	Canadian Utilities Ltd Pref Ser Bb
CU.PR.F.TO	Canadian Utilities Ltd Pref Ser CC
CU.PR.G.TO	Canadian Utilities Ltd Pref Ser Dd
CU.PR.H.TO	Canadian Utilities Ltd Pref Ser Ee
CU.PR.I.TO	Canadian Utilities Ltd Pref Ser Ff
CU.X.TO	CDN Util Cl B
CUB.TO	Cubicfarm Systems Corp
CUD.TO	Ishares S&P US Div Growers ETF
CUEI.TO	CIBC US Equity Index ETF
CUF.UN.TO	Cominar R E Un
CUP.U.TO	Caribbean Util US
CVD.TO	Ishares Convertible Bond Index ETF
CVE.TO	Cenovus Energy Inc
CVE.PR.A.TO	Cenovus Energy Inc
CVE.PR.B.TO	Cenovus Energy Inc
CVE.PR.C.TO	Cenovus Energy Inc
CVE.PR.E.TO	Cenovus Energy Inc
CVE.PR.G.TO	Cenovus Energy Inc
CVE.WT.TO	Cenovus Energy Inc WT
CVG.TO	Clairvest Group
CWB.TO	CDN Western Bank
CWB.PR.B.TO	Canadian Western Bank Pref Ser 5
CWB.PR.D.TO	Canadian Western Bank Pref Series 9
CWEB.TO	Charlotte's Web Holdings Inc
CWEB.WR.TO	Charlottes Web Holdings Inc Wr
CWEB.WS.TO	Charlottes Web Holdings Inc Ws
CWEB.WT.TO	Charlottes Web Holdings Inc
CWL.TO	Caldwell Partners International Inc
CWW.TO	Ishares S&P Global Water ETF
CXB.TO	Calibre Mining Corp
CXF.TO	CI First Asset CDN Convert Bond ETF
CXI.TO	Currency Exchange International Corp
CYB.TO	Cymbria Corp Cl A
CYBR.TO	Evolve Cyber Security Index Hgd ETF
CYBR.B.TO	Evolve Cyber Security Index Uh ETF
CYBR.U.TO	Evolve Cyber Security Index Uh Fund USD
CYH.TO	Ishares Global Monthly Dividend ETF
D.UN.TO	Dream Office REIT
DANC.TO	Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DATA.TO	Evolve Cloud Computing Index Fund Hg ETF
DATA.B.TO	Evolve Cloud Computing Indx Fund Uhg ETF
DBM.TO	Doman Building Materials Group Ltd.
DBM.NT.TO	Doman Build Materials Grp 6.375 Pct Note
DBO.TO	Dbox Technologies Inc
