ticker,mean_volume,median_volum
CJ.TO,485625.7376923077,384837.5
NSU.TO,483956.0406057946,326300.0
REI.UN.TO,483075.4972569673,421189.0
ESI.TO,482841.47652479156,314384.5
KAT.TO,477797.9366330391,190691.5
EFN.DB.TO,474149.57446808513,45000.0
IN.TO,472253.02173913043,338206.5
PNE.TO,471093.04149933066,207338.0
NWH.DB.G.TO,467906.9767441861,204000.0
WJA.TO,466820.0638718174,337317.0
LGO.TO,465302.88084464555,131340.0
FVI.TO,464286.66916167666,354603.5
HGU.TO,463811.79890560877,293227.0
FTT.TO,463707.0254553434,375847.0
AQN.TO,460284.11945241777,227800.0
PG.TO,455255.4185527574,307600.0
QSR.TO,451517.6954459203,380997.0
PRQ.TO,450519.5053246307,166198.0
HXD.TO,443373.9520210319,294700.0
L.TO,440097.81588764535,342889.0
CIX.TO,439321.33282073814,294656.0
PVG.TO,429518.93359375,344522.5
CEU.TO,417404.08933539415,291154.0
FR.TO,415334.9225367566,272700.0
ECS.TO,413189.9140625,267017.5
OR.TO,408857.0640269587,312636.0
MX.TO,404533.53028972785,321607.0
ROXG.TO,402460.8176100629,269950.0
TKO.TO,395299.4123616236,237500.0
MAXR.TO,388907.75942028983,273778.0
LUC.TO,387918.9499733901,272740.0
TDG.TO,385927.2465522094,256776.0
JE.TO,385476.73187108326,278901.5
TWM.TO,380836.6740506329,268373.5
HRT.TO,372922.9917398038,194000.0
CMMC.TO,370322.7847648262,230360.5
RGX.TO,367382.8362701909,174875.0
GUY.TO,367310.029286475,213858.0
AEF.TO,366248.9673550966,82720.0
CFW.TO,364636.9861751152,261200.0
CGG.TO,363469.0225442834,233060.0
KEY.TO,361568.8209030949,295320.0
VET.TO,359700.93471113197,287976.0
SES.TO,359618.31355932204,275662.0
CHR.TO,359270.9551374819,278484.0
SSL.TO,356597.35992342053,285653.0
NVA.TO,356421.48127388535,249400.0
HR.UN.TO,356214.28977569117,287512.5
U.TO,349321.9797512294,216456.0
OR.DB.TO,347861.96319018403,35000.0
PXT.TO,347769.63396838267,254119.0
HBC.TO,344962.1350318471,229581.5
DEE.TO,343978.6739666028,195341.0
DRG.UN.TO,341726.12989175686,274264.0
CFP.TO,332176.6353663888,247233.5
GOOS.TO,330241.5174537988,237553.0
UR.TO,329307.689217759,196875.0
GEI.TO,325529.50129198964,267323.0
CJR.B.TO,325285.17314022384,191200.0
CNE.TO,321411.81020408164,200771.5
GPR.TO,319322.75024453865,172800.0
NG.TO,315172.13796133565,226100.0
DIAM.TO,314394.0656370656,192650.0
DIV.TO,308207.9270738377,199417.0
INE.DB.B.TO,305775.5681818182,135000.0
IFP.TO,305698.2023313905,244387.0
ASP.TO,303400.70669745957,133800.0
CIA.TO,302122.52357723576,128539.0
ELR.TO,301441.8976311337,113685.0
ITX.TO,301231.628954608,42000.0
CHE.DB.D.TO,297030.1978021978,121000.0
PMN.TO,296064.82690187433,157810.0
XSP.TO,295528.77245104656,184000.0
ALA.TO,294651.9523913997,192798.5
EMA.TO,289884.93330408074,197000.0
WCN.TO,289406.6,231867.0
DPM.TO,289181.31416026346,167924.0
GXE.TO,287672.98258894775,186410.0
QTRH.TO,286642.775462963,195847.0
URE.TO,281666.90873493976,118274.5
ONEX.TO,281414.6916225995,184500.0
XFN.TO,277929.884057971,142600.0
CCL.B.TO,276049.7353522054,185015.0
DHX.DB.TO,274702.85714285716,500.0
LYD.TO,270766.99851079675,125228.0
BNE.TO,269733.8162077457,43852.0
BKX.TO,269198.85307346325,147465.0
SPB.TO,268206.4587357331,199000.0
HNL.TO,267257.1315120712,152058.5
QEC.TO,266417.1676907322,56225.0
CU.TO,265932.8321263989,194200.0
SOP.TO,265727.7518248175,160600.0
HXT.TO,265623.0768505422,162422.0
NKO.TO,265295.79389815626,112087.0
TFII.TO,262359.35807050095,221141.0
CSH.UN.TO,261671.782726452,203500.0
STN.TO,261476.66308165056,179556.0
MUX.TO,259348.73070422534,197402.0
SEV.TO,258833.04666666666,171056.0
X.TO,256421.46255506607,147200.0
PHO.TO,255063.23936170212,178202.0
SBB.TO,251612.49012291484,131562.5
CWB.TO,251449.8266783677,178619.5
POU.TO,250065.38366988586,143548.0
ARG.TO,249650.708489055,134269.0
BLDP.TO,247961.10192307693,142354.5
YRB.TO,246635.65865384616,100000.0
SRU.UN.TO,246435.6366630077,213809.0
IFC.TO,246125.27671541058,192439.0
NDM.TO,244898.21505376344,77700.0
IGM.TO,244509.98683633172,187550.0
LIF.TO,244418.38038725796,192468.0
USA.TO,242363.71851851852,79610.0
HCG.TO,240796.72685388327,148485.0
EMP.A.TO,236021.4527101163,155507.0
SSRM.TO,235815.60256410256,199380.5
CRH.TO,235156.10775606867,144083.0
SWY.TO,233898.86598224196,98525.0
JAG.TO,232625.7819713038,118884.5
CF.DB.A.TO,231015.74803149607,52000.0
BPY.UN.TO,231001.4663526245,134347.0
MOGO.TO,230134.03464453266,107115.0
SHOP.TO,229261.79766949153,169689.0
TCN.DB.U.TO,228474.89711934156,20000.0
BAR.TO,227390.42815884476,159900.0
ATZ.TO,226237.84166666667,143541.0
IAG.TO,223339.198332602,161477.5
HFU.TO,223315.16894197953,12795.5
BCB.TO,222372.34262510974,139789.5
AGF.B.TO,221938.633611233,142000.0
EXE.TO,221782.65525525526,164634.0
GC.TO,218593.84578313254,115651.0
LVN.TO,217434.14285714287,113110.0
MDI.TO,216973.39560922064,131100.0
CTC.A.TO,216856.42277314613,181529.0
PAAS.TO,216772.4597829112,163900.0
NPI.DB.C.TO,215652.1052631579,45000.0
RNW.TO,213343.30215827338,154658.0
ATA.TO,213048.19859556726,118500.0
TGZ.TO,212759.9494900437,134069.0
SCY.TO,212291.52448210923,126652.0
ARE.TO,210803.45336844414,152400.0
