ticker,normal_gain,gain_period,ema_gain,beta_coef
CPG.TO,-57.88912579957356,91,-23.64583333333333,2.304507490258205
BHC.TO,3.3112582781456954,102,-6.162089752176825,-0.2535376151145764
TRQ.TO,-23.140495867768593,0,0.0,1.778926175837401
SJR.B.TO,13.397328881469118,72,-6.239460370994943,0.7572880043616474
KL.TO,126.34700939199209,54,-25.674273858921154,0.28028701480139084
WPM.TO,20.778688524590166,245,-17.20430107526882,0.3167111632000717
TCW.TO,-55.07692307692308,20,-11.285266457680247,2.281209339723487
AEM.TO,12.983425414364639,206,-15.399714489650254,0.14263523924053903
TOG.TO,-25.16233766233766,227,-38.26458036984353,2.147193706384569
IPL.TO,0.18957345971563577,266,-5.1108095884215246,0.8889002374037502
VII.TO,-35.90852904820767,58,-10.208955223880603,1.6930078000932505
IVN.TO,5.79268292682928,0,0.0,2.8041194631873183
MRU.TO,155.79823192927716,0,0.0,0.054499158826853064
NXE.TO,-14.814814814814827,309,9.505703422053232,1.9755097934993298
MEG.TO,-2.6548672566371745,0,0.0,2.059876266370502
XEG.TO,-10.493273542600896,241,-26.35782747603833,1.7568419090041383
ARX.TO,-20.438527799530146,230,-40.62268346923648,1.4531159598337882
S.TO,-58.536585365853654,43,0.0,1.640033758471455
GIL.TO,23.772471156426075,0,0.0,0.6847711551710518
KEL.TO,-27.22298221614226,203,-49.76019184652278,2.058582206022773
TRI.TO,40.02800560112022,128,-11.116831239384965,0.5820230140379131
SMF.TO,2.898550724637671,236,-10.227272727272723,0.09790615609677818
PONY.TO,-26.633165829145728,292,-40.611353711790386,1.9333749150791932
GIB.A.TO,18.86259747243883,0,0,0.9115554013704752
TV.TO,-75.97402597402598,0,0,2.112826508499557
PCY.TO,-40.0,260,0.0,0.06411682634970876
DGC.TO,10.039840637450197,45,-32.24080267558528,0.44751180259012
OGC.TO,26.934097421203422,0,0.0,0.1910508878773423
POW.TO,-4.371963913948653,22,0.42387848816672913,0.6749365048481383
CAE.TO,20.92122255703831,35,-3.1358885017421554,0.850140796587526
CS.TO,-53.79310344827586,0,0,2.1386841138835
GTE.TO,-11.661807580174937,0,0.0,1.9011034370804742
TA.TO,15.137614678899086,0,0,0.3925308745494223
AR.TO,-17.741935483870964,0,0,0.1493653067879811
TSGI.TO,-35.306242638398125,0,0.0,1.5442563730562604
TVE.TO,-3.676470588235297,301,-25.07462686567165,2.360938564044977
TOU.TO,4.491481672689713,283,-14.735401459854018,1.453632157220523
CLS.TO,-10.449927431059503,0,0.0,0.42662446123506537
DML.TO,12.903225806451607,0,0.0,1.6899207540434615
CR.TO,-46.15384615384615,252,-42.3728813559322,2.3631900989764376
XGD.TO,7.142857142857145,148,-18.447412353923212,0.18649497043485685
FCU.TO,-29.57746478873239,0,0,1.6009994896286388
AGI.TO,-1.2158054711246211,234,-16.739446870451243,0.09209784202377432
PSK.TO,-29.81410031567871,0,0,1.1551463867624425
PGF.TO,-21.649484536082472,0,0,2.9137707471328596
CP.TO,15.92305410787678,0,0.0,1.46367635761768
CG.TO,1.026392961876824,168,-28.180574555403552,0.11628588365347783
FNV.TO,9.250433275563266,0,0,0.27104856642642305
FF.TO,-22.448979591836732,0,0,0.6432839556760309
OTEX.TO,11.882300089847257,111,-6.32118520357027,1.099693221906348
BIR.TO,10.703363914373092,0,0.0,2.032532030011274
BTE.TO,-34.65909090909092,253,-27.192982456140342,2.789988041633141
GWO.TO,-9.032846715328475,0,0,0.552643029511586
REI.UN.TO,12.477558348294423,0,0.0,0.31685863840901357
ELD.TO,-17.285714285714285,21,-22.30215827338129,0.37702331614635154
THO.TO,-19.70443349753695,205,-40.445859872611464,0.4380893947478864
PWF.TO,-9.573459715639803,0,0,0.6248812113156378
FTS.TO,15.462392108508025,0,0.0,0.26063058761060365
AKG.TO,-12.50000000000001,213,-38.853503184713375,1.2829769193218175
SHC.TO,4.604691572545607,181,-3.3112582781456985,0.25191623191285756
MGA.TO,-38.888888888888886,0,0,0.793365762366354
SAP.TO,6.5557486962999585,270,-6.0083654007442,0.5720261741845623
ERF.TO,-20.521619766643788,300,-50.411666290618534,2.2645189586588534
OBE.TO,-63.28125,190,-46.30872483221476,2.1258462786237744
HMMJ.TO,26.964285714285698,144,-6.505807052784039,1.2998863661221105
CJ.TO,-41.13300492610836,246,-49.2842535787321,2.5322264467052205
AIM.TO,110.67415730337078,0,0.0,0.40130035641080647
PEY.TO,-31.068840579710137,0,0,1.1568835207520525
QSR.TO,15.18707717796493,92,-23.1800766283525,0.8413044115404336
