ticker,normal_gain,gain_period,ema_gain,beta_coef
PONY.TO,-0.5391705069124424,141,0.7902866661507364,2.6961781069213013
GIB.A.TO,0.05341912314828681,217,5.784852651449277,0.4508937147571692
TV.TO,0.4495412844036697,182,21.502543876309804,1.361424725238879
PCY.TO,0.030303030303030328,130,34.37499999999999,0.7242209678756133
DGC.TO,-0.21139240506329113,178,1.2182724273230487,1.1355365692519734
OGC.TO,-0.254278728606357,219,-1.614598636184466,0.8283048647221596
POW.TO,0.04249909189974566,196,10.589085652331043,0.7860532483771021
CAE.TO,-0.0013876040703053253,225,7.730072735577184,1.173340561895305
CS.TO,0.7195121951219512,213,70.36321702198221,2.2313279112010376
GTE.TO,0.1569965870307167,128,-12.02473049851729,2.3816869572177515
TA.TO,-0.16888297872340421,121,-11.701286940075605,0.44132362192572044
