Date,High,Low,Open,Close,Volume,Adj Close
2017-11-15,12.579999923706055,11.8100004196167,12.399999618530273,12.430000305175781,137900,12.430000305175781
2017-11-16,13.3100004196167,12.539999961853027,12.600000381469727,13.010000228881836,329500,13.010000228881836
2017-11-17,13.210000038146973,12.880000114440918,13.0,13.020000457763672,173000,13.020000457763672
2017-11-20,13.960000038146973,12.960000038146973,13.010000228881836,13.960000038146973,666500,13.960000038146973
2017-11-21,14.399999618530273,13.739999771118164,14.260000228881836,13.960000038146973,397700,13.960000038146973
2017-11-22,14.600000381469727,13.899999618530273,14.0,14.399999618530273,353700,14.399999618530273
2017-11-24,15.260000228881836,14.5,14.5600004196167,15.100000381469727,466500,15.100000381469727
2017-11-27,16.489999771118164,15.420000076293945,15.510000228881836,15.9399995803833,793200,15.9399995803833
2017-11-28,16.229999542236328,13.65999984741211,16.0,14.670000076293945,808500,14.670000076293945
2017-11-29,14.770000457763672,12.109999656677246,14.770000457763672,12.3100004196167,927800,12.3100004196167
2017-11-30,13.630000114440918,12.34000015258789,12.569999694824219,13.0600004196167,380900,13.0600004196167
2017-12-01,13.050000190734863,11.600000381469727,13.0,12.34000015258789,436800,12.34000015258789
2017-12-04,12.84000015258789,11.380000114440918,12.75,11.550000190734863,374500,11.550000190734863
2017-12-05,12.600000381469727,11.359999656677246,11.369999885559082,12.1899995803833,293300,12.1899995803833
2017-12-06,12.390000343322754,11.8100004196167,11.970000267028809,12.069999694824219,236400,12.069999694824219
2017-12-07,13.479999542236328,12.069999694824219,12.100000381469727,12.869999885559082,380000,12.869999885559082
2017-12-08,13.949999809265137,12.430000305175781,13.109999656677246,12.460000038146973,417800,12.460000038146973
2017-12-11,12.850000381469727,12.350000381469727,12.399999618530273,12.550000190734863,162300,12.550000190734863
2017-12-12,12.770000457763672,11.970000267028809,12.539999961853027,12.180000305175781,185000,12.180000305175781
2017-12-13,12.699999809265137,12.09000015258789,12.140000343322754,12.449999809265137,123900,12.449999809265137
2017-12-14,12.550000190734863,12.100000381469727,12.510000228881836,12.3100004196167,119000,12.3100004196167
2017-12-15,12.75,12.220000267028809,12.329999923706055,12.600000381469727,134700,12.600000381469727
2017-12-18,14.380000114440918,12.600000381469727,12.729999542236328,13.859999656677246,483100,13.859999656677246
2017-12-19,14.140000343322754,12.8100004196167,14.119999885559082,12.869999885559082,373400,12.869999885559082
2017-12-20,13.25,12.609999656677246,12.949999809265137,13.020000457763672,156800,13.020000457763672
2017-12-21,13.140000343322754,12.449999809265137,12.989999771118164,12.65999984741211,160200,12.65999984741211
2017-12-22,12.729999542236328,12.359999656677246,12.699999809265137,12.619999885559082,106100,12.619999885559082
2017-12-26,12.800000190734863,12.25,12.430000305175781,12.649999618530273,200300,12.649999618530273
2017-12-27,12.75,12.420000076293945,12.65999984741211,12.479999542236328,81900,12.479999542236328
2017-12-28,12.8100004196167,12.270000457763672,12.5,12.479999542236328,86300,12.479999542236328
2017-12-29,12.649999618530273,11.680000305175781,12.420000076293945,12.039999961853027,264500,12.039999961853027
2018-01-02,12.479999542236328,11.84000015258789,12.220000267028809,12.100000381469727,216200,12.100000381469727
2018-01-03,12.520000457763672,12.069999694824219,12.130000114440918,12.289999961853027,264100,12.289999961853027
2018-01-04,12.430000305175781,12.149999618530273,12.430000305175781,12.220000267028809,155700,12.220000267028809
2018-01-05,12.270000457763672,11.90999984741211,12.270000457763672,11.970000267028809,230300,11.970000267028809
2018-01-08,11.989999771118164,11.399999618530273,11.979999542236328,11.84000015258789,243400,11.84000015258789
2018-01-09,11.979999542236328,11.470000267028809,11.800000190734863,11.789999961853027,123600,11.789999961853027
2018-01-10,11.789999961853027,11.420000076293945,11.729999542236328,11.6899995803833,95000,11.6899995803833
2018-01-11,11.9399995803833,11.579999923706055,11.6899995803833,11.649999618530273,103000,11.649999618530273
2018-01-12,11.829999923706055,10.770000457763672,11.59000015258789,10.850000381469727,300000,10.850000381469727
2018-01-16,10.800000190734863,10.0,10.800000190734863,10.279999732971191,399900,10.279999732971191
2018-01-17,10.9399995803833,10.15999984741211,10.390000343322754,10.829999923706055,291000,10.829999923706055
2018-01-18,10.899999618530273,10.529999732971191,10.819999694824219,10.829999923706055,120600,10.829999923706055
2018-01-19,11.3100004196167,10.779999732971191,10.890000343322754,11.260000228881836,181700,11.260000228881836
2018-01-22,12.239999771118164,11.199999809265137,11.399999618530273,11.8100004196167,311200,11.8100004196167
2018-01-23,11.949999809265137,10.850000381469727,11.9399995803833,11.140000343322754,251100,11.140000343322754
2018-01-24,11.279999732971191,10.75,11.119999885559082,10.8100004196167,110500,10.8100004196167
